project_title,description,category,sensors,actuators,controllers,components
Line Following Robot,robot follows path using IR sensors variation 600,Robotics,Motion Sensor|Ultrasonic Sensor,Buzzer,ESP32,Motion Sensor|Ultrasonic Sensor|Buzzer|ESP32
Air Quality Monitoring,monitor pollution levels variation 601,IoT,Ultrasonic Sensor,None,Arduino,Ultrasonic Sensor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 602,IoT,Gas Sensor,Relay,ESP32,Gas Sensor|Relay|ESP32
Smart Lighting,automatic lighting control variation 603,IoT,Motion Sensor,Motor Driver,ESP32,Motion Sensor|Motor Driver|ESP32
Weather Monitoring,monitor temperature and humidity variation 604,IoT,Soil Sensor,None,ESP8266,Soil Sensor|ESP8266
Smart Lighting,automatic lighting control variation 605,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 606,IoT,Ultrasonic Sensor|Temperature Sensor,None,ESP8266,Ultrasonic Sensor|Temperature Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 607,IoT,Flame Sensor|LDR Sensor,None,ESP32,Flame Sensor|LDR Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 608,IoT,IR Sensor,Servo Motor,Arduino,IR Sensor|Servo Motor|Arduino
Smart Lighting,automatic lighting control variation 609,IoT,IR Sensor|Soil Sensor,None,ESP32,IR Sensor|Soil Sensor|ESP32
Smart Security System,detect intruders using sensors variation 610,IoT,IR Sensor|Motion Sensor,None,Arduino,IR Sensor|Motion Sensor|Arduino
Smart Farming,monitor agriculture conditions variation 611,IoT,Temperature Sensor|Soil Sensor,None,Arduino,Temperature Sensor|Soil Sensor|Arduino
Home Automation,control home devices using wifi variation 612,IoT,IR Sensor,None,ESP8266,IR Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 613,IoT,Motion Sensor|Flame Sensor,None,ESP8266,Motion Sensor|Flame Sensor|ESP8266
Home Automation,control home devices using wifi variation 614,IoT,Temperature Sensor|Motion Sensor,Water Pump,ESP8266,Temperature Sensor|Motion Sensor|Water Pump|ESP8266
Home Automation,control home devices using wifi variation 615,IoT,Gas Sensor|Motion Sensor,None,Arduino,Gas Sensor|Motion Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 616,Robotics,Temperature Sensor|Motion Sensor,Relay,Arduino,Temperature Sensor|Motion Sensor|Relay|Arduino
Smart Irrigation,automatic watering using soil moisture variation 617,IoT,Humidity Sensor,Relay,Arduino,Humidity Sensor|Relay|Arduino
Water Level Indicator,monitor water level in tank variation 618,IoT,Soil Sensor|LDR Sensor,None,Arduino,Soil Sensor|LDR Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 619,Robotics,Humidity Sensor,Motor Driver,ESP8266,Humidity Sensor|Motor Driver|ESP8266
Fire Detection,detect fire using flame sensor variation 620,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Smart Lighting,automatic lighting control variation 621,IoT,Gas Sensor|Motion Sensor,None,ESP32,Gas Sensor|Motion Sensor|ESP32
Smart Security System,detect intruders using sensors variation 622,IoT,LDR Sensor|Gas Sensor,None,Arduino,LDR Sensor|Gas Sensor|Arduino
Smart Lighting,automatic lighting control variation 623,IoT,Motion Sensor|Humidity Sensor,None,ESP8266,Motion Sensor|Humidity Sensor|ESP8266
Home Automation,control home devices using wifi variation 624,IoT,Ultrasonic Sensor|Gas Sensor,None,Arduino,Ultrasonic Sensor|Gas Sensor|Arduino
Smart Farming,monitor agriculture conditions variation 625,IoT,Motion Sensor|Temperature Sensor,Buzzer,Arduino,Motion Sensor|Temperature Sensor|Buzzer|Arduino
Air Quality Monitoring,monitor pollution levels variation 626,IoT,LDR Sensor|Ultrasonic Sensor,None,Arduino,LDR Sensor|Ultrasonic Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 627,Robotics,IR Sensor,None,Arduino,IR Sensor|Arduino
Smart Security System,detect intruders using sensors variation 628,IoT,Gas Sensor|Ultrasonic Sensor,Motor Driver,ESP32,Gas Sensor|Ultrasonic Sensor|Motor Driver|ESP32
Weather Monitoring,monitor temperature and humidity variation 629,IoT,Humidity Sensor,None,Arduino,Humidity Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 630,Robotics,Gas Sensor|IR Sensor,Buzzer,ESP8266,Gas Sensor|IR Sensor|Buzzer|ESP8266
Weather Monitoring,monitor temperature and humidity variation 631,IoT,Gas Sensor,Motor Driver,ESP8266,Gas Sensor|Motor Driver|ESP8266
Smart Parking,detect parking availability variation 632,IoT,Ultrasonic Sensor,Relay,ESP8266,Ultrasonic Sensor|Relay|ESP8266
Air Quality Monitoring,monitor pollution levels variation 633,IoT,Flame Sensor,None,Arduino,Flame Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 634,IoT,Ultrasonic Sensor|LDR Sensor,None,ESP32,Ultrasonic Sensor|LDR Sensor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 635,IoT,Ultrasonic Sensor,Water Pump,Arduino,Ultrasonic Sensor|Water Pump|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 636,Robotics,Gas Sensor,Water Pump,ESP8266,Gas Sensor|Water Pump|ESP8266
Water Level Indicator,monitor water level in tank variation 637,IoT,Gas Sensor|Ultrasonic Sensor,Servo Motor,Arduino,Gas Sensor|Ultrasonic Sensor|Servo Motor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 638,IoT,Gas Sensor|Soil Sensor,None,Arduino,Gas Sensor|Soil Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 639,IoT,Soil Sensor,None,Arduino,Soil Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 640,IoT,Humidity Sensor|LDR Sensor,Servo Motor,ESP8266,Humidity Sensor|LDR Sensor|Servo Motor|ESP8266
Home Automation,control home devices using wifi variation 641,IoT,LDR Sensor,None,ESP32,LDR Sensor|ESP32
Smart Lighting,automatic lighting control variation 642,IoT,Ultrasonic Sensor,Motor Driver,ESP8266,Ultrasonic Sensor|Motor Driver|ESP8266
Smart Parking,detect parking availability variation 643,IoT,Ultrasonic Sensor|Flame Sensor,Water Pump,ESP32,Ultrasonic Sensor|Flame Sensor|Water Pump|ESP32
Air Quality Monitoring,monitor pollution levels variation 644,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Home Automation,control home devices using wifi variation 645,IoT,Ultrasonic Sensor|LDR Sensor,None,Arduino,Ultrasonic Sensor|LDR Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 646,IoT,Motion Sensor|Flame Sensor,None,ESP32,Motion Sensor|Flame Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 647,Robotics,Temperature Sensor,None,Arduino,Temperature Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 648,Robotics,IR Sensor|LDR Sensor,LED,ESP32,IR Sensor|LDR Sensor|LED|ESP32
Smart Security System,detect intruders using sensors variation 649,IoT,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
Smart Lighting,automatic lighting control variation 650,IoT,Motion Sensor,Water Pump,Arduino,Motion Sensor|Water Pump|Arduino
Home Automation,control home devices using wifi variation 651,IoT,Flame Sensor,Valve,ESP32,Flame Sensor|Valve|ESP32
Air Quality Monitoring,monitor pollution levels variation 652,IoT,Soil Sensor,None,Arduino,Soil Sensor|Arduino
Fire Detection,detect fire using flame sensor variation 653,IoT,Flame Sensor|Motion Sensor,None,ESP8266,Flame Sensor|Motion Sensor|ESP8266
Smart Lighting,automatic lighting control variation 654,IoT,Humidity Sensor|Soil Sensor,Valve,Arduino,Humidity Sensor|Soil Sensor|Valve|Arduino
Fire Detection,detect fire using flame sensor variation 655,IoT,Flame Sensor,Relay,Arduino,Flame Sensor|Relay|Arduino
Water Level Indicator,monitor water level in tank variation 656,IoT,Soil Sensor,Valve,ESP8266,Soil Sensor|Valve|ESP8266
Smart Farming,monitor agriculture conditions variation 657,IoT,Ultrasonic Sensor,LED,ESP32,Ultrasonic Sensor|LED|ESP32
Air Quality Monitoring,monitor pollution levels variation 658,IoT,IR Sensor|Temperature Sensor,None,ESP32,IR Sensor|Temperature Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 659,Robotics,Soil Sensor|Temperature Sensor,None,ESP32,Soil Sensor|Temperature Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 660,IoT,Ultrasonic Sensor|Humidity Sensor,None,ESP8266,Ultrasonic Sensor|Humidity Sensor|ESP8266
Smart Parking,detect parking availability variation 661,IoT,Ultrasonic Sensor|Gas Sensor,Water Pump,ESP32,Ultrasonic Sensor|Gas Sensor|Water Pump|ESP32
Smart Security System,detect intruders using sensors variation 662,IoT,Gas Sensor,Buzzer,Arduino,Gas Sensor|Buzzer|Arduino
Line Following Robot,robot follows path using IR sensors variation 663,Robotics,Flame Sensor,None,Arduino,Flame Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 664,IoT,IR Sensor,None,Arduino,IR Sensor|Arduino
Air Quality Monitoring,monitor pollution levels variation 665,IoT,IR Sensor|Flame Sensor,Relay,ESP32,IR Sensor|Flame Sensor|Relay|ESP32
Air Quality Monitoring,monitor pollution levels variation 666,IoT,LDR Sensor,Servo Motor,ESP8266,LDR Sensor|Servo Motor|ESP8266
Smart Farming,monitor agriculture conditions variation 667,IoT,IR Sensor,Buzzer,ESP32,IR Sensor|Buzzer|ESP32
Line Following Robot,robot follows path using IR sensors variation 668,Robotics,LDR Sensor|Motion Sensor,None,ESP8266,LDR Sensor|Motion Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 669,IoT,Flame Sensor|Gas Sensor,Valve,ESP8266,Flame Sensor|Gas Sensor|Valve|ESP8266
Smart Lighting,automatic lighting control variation 670,IoT,Flame Sensor|Motion Sensor,None,ESP8266,Flame Sensor|Motion Sensor|ESP8266
Water Level Indicator,monitor water level in tank variation 671,IoT,LDR Sensor|Ultrasonic Sensor,Water Pump,ESP32,LDR Sensor|Ultrasonic Sensor|Water Pump|ESP32
Weather Monitoring,monitor temperature and humidity variation 672,IoT,LDR Sensor,None,Arduino,LDR Sensor|Arduino
Smart Lighting,automatic lighting control variation 673,IoT,Ultrasonic Sensor|Soil Sensor,None,ESP8266,Ultrasonic Sensor|Soil Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 674,IoT,Ultrasonic Sensor,Motor Driver,ESP8266,Ultrasonic Sensor|Motor Driver|ESP8266
Smart Lighting,automatic lighting control variation 675,IoT,Gas Sensor|IR Sensor,Motor Driver,ESP8266,Gas Sensor|IR Sensor|Motor Driver|ESP8266
Smart Security System,detect intruders using sensors variation 676,IoT,Ultrasonic Sensor|Temperature Sensor,Valve,ESP32,Ultrasonic Sensor|Temperature Sensor|Valve|ESP32
Home Automation,control home devices using wifi variation 677,IoT,Soil Sensor,None,Arduino,Soil Sensor|Arduino
Smart Security System,detect intruders using sensors variation 678,IoT,Gas Sensor|Soil Sensor,None,Arduino,Gas Sensor|Soil Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 679,Robotics,IR Sensor|LDR Sensor,None,ESP32,IR Sensor|LDR Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 680,Robotics,Temperature Sensor|Motion Sensor,None,Arduino,Temperature Sensor|Motion Sensor|Arduino
Smart Farming,monitor agriculture conditions variation 681,IoT,Motion Sensor|Gas Sensor,LED,ESP32,Motion Sensor|Gas Sensor|LED|ESP32
Smart Lighting,automatic lighting control variation 682,IoT,IR Sensor|Soil Sensor,None,Arduino,IR Sensor|Soil Sensor|Arduino
Line Following Robot,robot follows path using IR sensors variation 683,Robotics,Flame Sensor|Ultrasonic Sensor,Servo Motor,Arduino,Flame Sensor|Ultrasonic Sensor|Servo Motor|Arduino
Smart Farming,monitor agriculture conditions variation 684,IoT,Soil Sensor,Valve,ESP32,Soil Sensor|Valve|ESP32
Water Level Indicator,monitor water level in tank variation 685,IoT,LDR Sensor|Motion Sensor,None,ESP32,LDR Sensor|Motion Sensor|ESP32
Water Level Indicator,monitor water level in tank variation 686,IoT,Ultrasonic Sensor|IR Sensor,None,ESP8266,Ultrasonic Sensor|IR Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 687,IoT,IR Sensor,None,ESP8266,IR Sensor|ESP8266
Air Quality Monitoring,monitor pollution levels variation 688,IoT,Humidity Sensor|Gas Sensor,None,ESP32,Humidity Sensor|Gas Sensor|ESP32
Smart Security System,detect intruders using sensors variation 689,IoT,Temperature Sensor|IR Sensor,None,ESP8266,Temperature Sensor|IR Sensor|ESP8266
Smart Lighting,automatic lighting control variation 690,IoT,Humidity Sensor,Buzzer,Arduino,Humidity Sensor|Buzzer|Arduino
Water Level Indicator,monitor water level in tank variation 691,IoT,IR Sensor,Motor Driver,Arduino,IR Sensor|Motor Driver|Arduino
Water Level Indicator,monitor water level in tank variation 692,IoT,Ultrasonic Sensor,None,ESP32,Ultrasonic Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 693,IoT,Temperature Sensor,LED,ESP32,Temperature Sensor|LED|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 694,Robotics,Gas Sensor,Water Pump,Arduino,Gas Sensor|Water Pump|Arduino
Fire Detection,detect fire using flame sensor variation 695,IoT,Gas Sensor,Buzzer,ESP8266,Gas Sensor|Buzzer|ESP8266
Fire Detection,detect fire using flame sensor variation 696,IoT,Flame Sensor,None,Arduino,Flame Sensor|Arduino
Smart Lighting,automatic lighting control variation 697,IoT,Gas Sensor|Humidity Sensor,None,Arduino,Gas Sensor|Humidity Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 698,Robotics,Humidity Sensor|IR Sensor,Buzzer,ESP32,Humidity Sensor|IR Sensor|Buzzer|ESP32
Smart Lighting,automatic lighting control variation 699,IoT,Flame Sensor|LDR Sensor,None,ESP8266,Flame Sensor|LDR Sensor|ESP8266
Air Quality Monitoring,monitor pollution levels variation 700,IoT,Gas Sensor,None,ESP32,Gas Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 701,Robotics,Ultrasonic Sensor|Soil Sensor,None,ESP8266,Ultrasonic Sensor|Soil Sensor|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 702,Robotics,Humidity Sensor,Servo Motor,ESP8266,Humidity Sensor|Servo Motor|ESP8266
Smart Security System,detect intruders using sensors variation 703,IoT,IR Sensor|Gas Sensor,Buzzer,ESP32,IR Sensor|Gas Sensor|Buzzer|ESP32
Smart Farming,monitor agriculture conditions variation 704,IoT,LDR Sensor,None,ESP8266,LDR Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 705,Robotics,Soil Sensor,Water Pump,ESP8266,Soil Sensor|Water Pump|ESP8266
Weather Monitoring,monitor temperature and humidity variation 706,IoT,IR Sensor|Flame Sensor,None,ESP32,IR Sensor|Flame Sensor|ESP32
Smart Farming,monitor agriculture conditions variation 707,IoT,Ultrasonic Sensor|Temperature Sensor,None,ESP8266,Ultrasonic Sensor|Temperature Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 708,IoT,IR Sensor,Motor Driver,ESP32,IR Sensor|Motor Driver|ESP32
Home Automation,control home devices using wifi variation 709,IoT,Flame Sensor|Gas Sensor,Motor Driver,ESP8266,Flame Sensor|Gas Sensor|Motor Driver|ESP8266
Home Automation,control home devices using wifi variation 710,IoT,Motion Sensor,Relay,ESP32,Motion Sensor|Relay|ESP32
Fire Detection,detect fire using flame sensor variation 711,IoT,Flame Sensor,None,ESP32,Flame Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 712,IoT,Gas Sensor,None,Arduino,Gas Sensor|Arduino
Smart Irrigation,automatic watering using soil moisture variation 713,IoT,LDR Sensor|Temperature Sensor,None,ESP32,LDR Sensor|Temperature Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 714,Robotics,Gas Sensor|Ultrasonic Sensor,Relay,ESP32,Gas Sensor|Ultrasonic Sensor|Relay|ESP32
Smart Lighting,automatic lighting control variation 715,IoT,Soil Sensor,Buzzer,ESP8266,Soil Sensor|Buzzer|ESP8266
Fire Detection,detect fire using flame sensor variation 716,IoT,IR Sensor,None,ESP8266,IR Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 717,IoT,Flame Sensor|IR Sensor,None,ESP32,Flame Sensor|IR Sensor|ESP32
Line Following Robot,robot follows path using IR sensors variation 718,Robotics,Ultrasonic Sensor|Gas Sensor,None,Arduino,Ultrasonic Sensor|Gas Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 719,Robotics,Temperature Sensor,None,ESP32,Temperature Sensor|ESP32
Smart Security System,detect intruders using sensors variation 720,IoT,Soil Sensor,None,ESP8266,Soil Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 721,IoT,Temperature Sensor,Relay,ESP32,Temperature Sensor|Relay|ESP32
Air Quality Monitoring,monitor pollution levels variation 722,IoT,Flame Sensor|LDR Sensor,None,Arduino,Flame Sensor|LDR Sensor|Arduino
Smart Security System,detect intruders using sensors variation 723,IoT,Gas Sensor|LDR Sensor,None,ESP32,Gas Sensor|LDR Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 724,Robotics,Soil Sensor|IR Sensor,None,ESP8266,Soil Sensor|IR Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 725,IoT,IR Sensor,Valve,ESP8266,IR Sensor|Valve|ESP8266
Smart Lighting,automatic lighting control variation 726,IoT,Gas Sensor,Water Pump,ESP32,Gas Sensor|Water Pump|ESP32
Weather Monitoring,monitor temperature and humidity variation 727,IoT,IR Sensor|Temperature Sensor,Servo Motor,Arduino,IR Sensor|Temperature Sensor|Servo Motor|Arduino
Smart Farming,monitor agriculture conditions variation 728,IoT,Humidity Sensor|LDR Sensor,Servo Motor,ESP32,Humidity Sensor|LDR Sensor|Servo Motor|ESP32
Smart Parking,detect parking availability variation 729,IoT,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
Smart Lighting,automatic lighting control variation 730,IoT,IR Sensor|Soil Sensor,None,ESP32,IR Sensor|Soil Sensor|ESP32
Smart Security System,detect intruders using sensors variation 731,IoT,Soil Sensor,None,ESP8266,Soil Sensor|ESP8266
Weather Monitoring,monitor temperature and humidity variation 732,IoT,Gas Sensor,Water Pump,Arduino,Gas Sensor|Water Pump|Arduino
Home Automation,control home devices using wifi variation 733,IoT,LDR Sensor|Humidity Sensor,Water Pump,ESP8266,LDR Sensor|Humidity Sensor|Water Pump|ESP8266
Smart Lighting,automatic lighting control variation 734,IoT,Temperature Sensor,None,ESP32,Temperature Sensor|ESP32
Smart Parking,detect parking availability variation 735,IoT,Flame Sensor|Soil Sensor,None,ESP8266,Flame Sensor|Soil Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 736,Robotics,LDR Sensor|Soil Sensor,Valve,ESP8266,LDR Sensor|Soil Sensor|Valve|ESP8266
Water Level Indicator,monitor water level in tank variation 737,IoT,IR Sensor,Servo Motor,ESP8266,IR Sensor|Servo Motor|ESP8266
Water Level Indicator,monitor water level in tank variation 738,IoT,Soil Sensor|Ultrasonic Sensor,Motor Driver,ESP32,Soil Sensor|Ultrasonic Sensor|Motor Driver|ESP32
Air Quality Monitoring,monitor pollution levels variation 739,IoT,Humidity Sensor|Soil Sensor,None,ESP32,Humidity Sensor|Soil Sensor|ESP32
Fire Detection,detect fire using flame sensor variation 740,IoT,Humidity Sensor|Ultrasonic Sensor,None,ESP32,Humidity Sensor|Ultrasonic Sensor|ESP32
Smart Security System,detect intruders using sensors variation 741,IoT,Motion Sensor,Valve,ESP8266,Motion Sensor|Valve|ESP8266
Smart Parking,detect parking availability variation 742,IoT,Temperature Sensor|Humidity Sensor,Buzzer,Arduino,Temperature Sensor|Humidity Sensor|Buzzer|Arduino
Smart Farming,monitor agriculture conditions variation 743,IoT,Motion Sensor|Flame Sensor,Water Pump,ESP8266,Motion Sensor|Flame Sensor|Water Pump|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 744,IoT,Soil Sensor,Relay,ESP8266,Soil Sensor|Relay|ESP8266
Smart Security System,detect intruders using sensors variation 745,IoT,Gas Sensor,Water Pump,Arduino,Gas Sensor|Water Pump|Arduino
Weather Monitoring,monitor temperature and humidity variation 746,IoT,Gas Sensor|Soil Sensor,None,ESP32,Gas Sensor|Soil Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 747,IoT,Motion Sensor,Water Pump,ESP8266,Motion Sensor|Water Pump|ESP8266
Line Following Robot,robot follows path using IR sensors variation 748,Robotics,Flame Sensor|IR Sensor,LED,ESP32,Flame Sensor|IR Sensor|LED|ESP32
Smart Lighting,automatic lighting control variation 749,IoT,Motion Sensor|Temperature Sensor,None,ESP32,Motion Sensor|Temperature Sensor|ESP32
Smart Parking,detect parking availability variation 750,IoT,LDR Sensor|Ultrasonic Sensor,Servo Motor,ESP8266,LDR Sensor|Ultrasonic Sensor|Servo Motor|ESP8266
Smart Parking,detect parking availability variation 751,IoT,LDR Sensor|Temperature Sensor,Motor Driver,ESP8266,LDR Sensor|Temperature Sensor|Motor Driver|ESP8266
Smart Farming,monitor agriculture conditions variation 752,IoT,Temperature Sensor|Humidity Sensor,Buzzer,ESP32,Temperature Sensor|Humidity Sensor|Buzzer|ESP32
Home Automation,control home devices using wifi variation 753,IoT,Humidity Sensor|LDR Sensor,None,Arduino,Humidity Sensor|LDR Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 754,IoT,LDR Sensor|Temperature Sensor,None,ESP32,LDR Sensor|Temperature Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 755,Robotics,LDR Sensor,Relay,ESP32,LDR Sensor|Relay|ESP32
Smart Lighting,automatic lighting control variation 756,IoT,Humidity Sensor|Soil Sensor,None,ESP8266,Humidity Sensor|Soil Sensor|ESP8266
Fire Detection,detect fire using flame sensor variation 757,IoT,LDR Sensor|Flame Sensor,None,ESP8266,LDR Sensor|Flame Sensor|ESP8266
Smart Farming,monitor agriculture conditions variation 758,IoT,IR Sensor|Gas Sensor,Motor Driver,ESP32,IR Sensor|Gas Sensor|Motor Driver|ESP32
Weather Monitoring,monitor temperature and humidity variation 759,IoT,Motion Sensor,None,ESP32,Motion Sensor|ESP32
Smart Parking,detect parking availability variation 760,IoT,Motion Sensor,Buzzer,ESP8266,Motion Sensor|Buzzer|ESP8266
Obstacle Avoiding Robot,robot avoids obstacles variation 761,Robotics,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
Smart Security System,detect intruders using sensors variation 762,IoT,IR Sensor,Servo Motor,ESP32,IR Sensor|Servo Motor|ESP32
Smart Farming,monitor agriculture conditions variation 763,IoT,Humidity Sensor|Soil Sensor,None,ESP8266,Humidity Sensor|Soil Sensor|ESP8266
Air Quality Monitoring,monitor pollution levels variation 764,IoT,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
Line Following Robot,robot follows path using IR sensors variation 765,Robotics,Soil Sensor|Motion Sensor,None,ESP32,Soil Sensor|Motion Sensor|ESP32
Air Quality Monitoring,monitor pollution levels variation 766,IoT,Humidity Sensor,Servo Motor,Arduino,Humidity Sensor|Servo Motor|Arduino
Line Following Robot,robot follows path using IR sensors variation 767,Robotics,Flame Sensor|Soil Sensor,Servo Motor,ESP32,Flame Sensor|Soil Sensor|Servo Motor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 768,IoT,IR Sensor,None,ESP8266,IR Sensor|ESP8266
Air Quality Monitoring,monitor pollution levels variation 769,IoT,Gas Sensor|Soil Sensor,Buzzer,ESP32,Gas Sensor|Soil Sensor|Buzzer|ESP32
Home Automation,control home devices using wifi variation 770,IoT,Humidity Sensor,None,Arduino,Humidity Sensor|Arduino
Obstacle Avoiding Robot,robot avoids obstacles variation 771,Robotics,Flame Sensor,Valve,ESP8266,Flame Sensor|Valve|ESP8266
Smart Parking,detect parking availability variation 772,IoT,Temperature Sensor,None,ESP8266,Temperature Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 773,IoT,Flame Sensor|Motion Sensor,None,ESP32,Flame Sensor|Motion Sensor|ESP32
Smart Parking,detect parking availability variation 774,IoT,LDR Sensor|Flame Sensor,None,ESP32,LDR Sensor|Flame Sensor|ESP32
Smart Irrigation,automatic watering using soil moisture variation 775,IoT,Motion Sensor,Valve,Arduino,Motion Sensor|Valve|Arduino
Smart Irrigation,automatic watering using soil moisture variation 776,IoT,Humidity Sensor,None,ESP32,Humidity Sensor|ESP32
Air Quality Monitoring,monitor pollution levels variation 777,IoT,Ultrasonic Sensor,Servo Motor,ESP32,Ultrasonic Sensor|Servo Motor|ESP32
Smart Parking,detect parking availability variation 778,IoT,Motion Sensor,Water Pump,ESP32,Motion Sensor|Water Pump|ESP32
Line Following Robot,robot follows path using IR sensors variation 779,Robotics,Motion Sensor|Flame Sensor,Valve,ESP8266,Motion Sensor|Flame Sensor|Valve|ESP8266
Line Following Robot,robot follows path using IR sensors variation 780,Robotics,LDR Sensor,Motor Driver,ESP8266,LDR Sensor|Motor Driver|ESP8266
Smart Farming,monitor agriculture conditions variation 781,IoT,Gas Sensor|Humidity Sensor,Valve,ESP8266,Gas Sensor|Humidity Sensor|Valve|ESP8266
Smart Parking,detect parking availability variation 782,IoT,Gas Sensor|Flame Sensor,None,ESP32,Gas Sensor|Flame Sensor|ESP32
Smart Parking,detect parking availability variation 783,IoT,Gas Sensor|Humidity Sensor,None,Arduino,Gas Sensor|Humidity Sensor|Arduino
Weather Monitoring,monitor temperature and humidity variation 784,IoT,Humidity Sensor,Buzzer,ESP32,Humidity Sensor|Buzzer|ESP32
Smart Security System,detect intruders using sensors variation 785,IoT,Flame Sensor,Motor Driver,Arduino,Flame Sensor|Motor Driver|Arduino
Smart Farming,monitor agriculture conditions variation 786,IoT,IR Sensor|Flame Sensor,None,ESP8266,IR Sensor|Flame Sensor|ESP8266
Smart Irrigation,automatic watering using soil moisture variation 787,IoT,LDR Sensor,None,Arduino,LDR Sensor|Arduino
Smart Lighting,automatic lighting control variation 788,IoT,Flame Sensor|Gas Sensor,Buzzer,Arduino,Flame Sensor|Gas Sensor|Buzzer|Arduino
Line Following Robot,robot follows path using IR sensors variation 789,Robotics,Motion Sensor,Servo Motor,Arduino,Motion Sensor|Servo Motor|Arduino
Line Following Robot,robot follows path using IR sensors variation 790,Robotics,IR Sensor,None,ESP32,IR Sensor|ESP32
Weather Monitoring,monitor temperature and humidity variation 791,IoT,Gas Sensor,None,ESP32,Gas Sensor|ESP32
Obstacle Avoiding Robot,robot avoids obstacles variation 792,Robotics,LDR Sensor,None,Arduino,LDR Sensor|Arduino
Water Level Indicator,monitor water level in tank variation 793,IoT,Humidity Sensor|Motion Sensor,Buzzer,Arduino,Humidity Sensor|Motion Sensor|Buzzer|Arduino
Home Automation,control home devices using wifi variation 794,IoT,Ultrasonic Sensor|LDR Sensor,Buzzer,Arduino,Ultrasonic Sensor|LDR Sensor|Buzzer|Arduino
Fire Detection,detect fire using flame sensor variation 795,IoT,IR Sensor|Gas Sensor,None,ESP32,IR Sensor|Gas Sensor|ESP32
Home Automation,control home devices using wifi variation 796,IoT,Temperature Sensor|LDR Sensor,Buzzer,Arduino,Temperature Sensor|LDR Sensor|Buzzer|Arduino
Weather Monitoring,monitor temperature and humidity variation 797,IoT,Humidity Sensor|Ultrasonic Sensor,Valve,Arduino,Humidity Sensor|Ultrasonic Sensor|Valve|Arduino
Fire Detection,detect fire using flame sensor variation 798,IoT,Motion Sensor,Valve,ESP8266,Motion Sensor|Valve|ESP8266
Home Automation,control home devices using wifi variation 799,IoT,Ultrasonic Sensor,None,ESP8266,Ultrasonic Sensor|ESP8266
